REF,Company,Company_Location,Year_Reviewed,Bean_Origin,Cocoa_Percent,Characteristics,Rating,S_Bean_Origin,Number_Ingredients,Ingredient_B,Ingredient_C,Ingredient_L,Ingredient_S,Ingredient_S*,Ingredient_Sa,Ingredient_V
1319,A. Morin,France,2014,Peru,70.0,"delicate, hazelnut, brownie",4.0,Pablino,4,1,1,1,1,0,0,0
1676,A. Morin,France,2015,Togo,70.0,"burnt wood, earthy, choco",2.75,Kpime,4,1,1,1,1,0,0,0
1676,A. Morin,France,2015,Togo,70.0,"roasty, acidic, nutty",3.0,Atsane,4,1,1,1,1,0,0,0
1680,A. Morin,France,2015,Togo,70.0,"mild profile, chocolaty, spice",3.5,Akata,4,1,1,1,1,0,0,0
1704,A. Morin,France,2015,Peru,70.0,"grainy texture, cocoa, sweet",3.5,Quilla,4,1,1,1,1,0,0,0
1876,A. Morin,France,2016,Sao Tome,63.0,"sweet, chocolatey, vegetal",3.75,Agua Grande,4,1,1,1,1,0,0,0
2206,A. Morin,France,2018,Venezuela,70.0,"alluring aroma, powdery,nutty",3.5,Porcelana,4,1,1,1,1,0,0,0
2206,A. Morin,France,2018,Peru,63.0,"sweet, dairy, spice, cocoa",3.75,Absolu,4,1,1,1,1,0,0,0
2648,A. Morin,France,2021,Mexico,70.0,"light color, fruit, yogurt",4.0,La Joya,4,1,1,1,1,0,0,0
1462,Acalli,U.S.A.,2015,Peru,70.0,yellow fruit,3.75,"Chulucanas, El Platanal",2,1,0,0,1,0,0,0
1470,Acalli,U.S.A.,2015,Peru,70.0,"intense, nutty, cherry, cocoa",3.75,"Tumbes, Norandino",2,1,0,0,1,0,0,0
2462,Acalli,U.S.A.,2020,Mexico,74.0,"herbal, molasses, hammy",3.25,"Teapa, Tabasco",2,1,0,0,1,0,0,0
2470,Acalli,U.S.A.,2020,Peru,70.0,"hot cocoa, rich, molasses",3.5,"Barataria, El Plantal and Norandino Tumbes blend",2,1,0,0,1,0,0,0
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,60.0,"sweet, sublte strawberry",2.75,Vanua Levu,3,1,1,0,1,0,0,0
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,80.0,spicy and candy-like,3.25,"Vanua Levu, Toto-A",3,1,1,0,1,0,0,0
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,88.0,"orange, floral, lemon",3.5,Vanua Levu,3,1,1,0,1,0,0,0
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,72.0,cocoa and powerful tang,3.5,"Vanua Levu, Ami-Ami-CA",3,1,1,0,1,0,0,0
2438,Aelan,Vanuatu,2019,Vanuatu,70.0,"unrefined, sweet, metallic",2.5,Malekula Island,2,1,0,0,1,0,0,0
2438,Aelan,Vanuatu,2019,Vanuatu,70.0,"basic, sweet, cocoa, woody",2.75,Malo Island,2,1,0,0,1,0,0,0
2442,Aelan,Vanuatu,2019,Vanuatu,70.0,"sweet, cocoa, rubbery",2.75,Santo Island,2,1,0,0,1,0,0,0
2438,Aelan,Vanuatu,2019,Vanuatu,70.0,"sandy, woody, spicy, sweet",3.0,EPI Island,2,1,0,0,1,0,0,0
370,Aequare (Gianduja),Ecuador,2009,Ecuador,55.0,"sandy, sweet, banana cream",2.75,"Los Rios, Quevedo, Arriba",4,1,1,0,1,0,0,1
370,Aequare (Gianduja),Ecuador,2009,Ecuador,70.0,"roasty, nutty, coffee",3.0,"Los Rios, Quevedo, Arriba",4,1,1,0,1,0,0,1
316,Ah Cacao,Mexico,2009,Mexico,70.0,"gritty, spice, cocoa",3.0,Tabasco,3,1,1,0,1,0,0,0
502,Akesson's (Pralus),U.K.,2010,Madagascar,75.0,"strong pepper, musty",2.75,"Madagascar, Ambolikapiky P.",4,1,1,1,1,0,0,0
508,Akesson's (Pralus),U.K.,2010,Brazil,75.0,"fatty, intense, woody",2.75,"Monte Alegre, D. Badero",4,1,1,1,1,0,0,0
636,Akesson's (Pralus),U.K.,2011,Indonesia,75.0,"hay, nut, berry",3.75,"Bali (west), Sukrama Family, Melaya area",4,1,1,1,1,0,0,0
1061,Alain Ducasse,France,2013,Venezuela,75.0,"sandy, dirt, ashey",2.5,Chuao,5,1,1,1,1,0,0,1
1173,Alain Ducasse,France,2013,Peru,75.0,"cardboard, dirt, roasty",2.5,"Piura, Perou",5,1,1,1,1,0,0,1
1944,Alexandre,Netherlands,2017,Ecuador,70.0,"sandy, green, floral",3.5,"Winak Coop, Napo",3,1,1,0,1,0,0,0
1944,Alexandre,Netherlands,2017,Nicaragua,70.0,"sandy, sweet, nibby",3.5,"La Dalia, Matagalpa",3,1,1,0,1,0,0,0
1944,Alexandre,Netherlands,2017,Tanzania,70.0,"sandy, melon, banana",3.5,"Makwale Village, Kyela",3,1,1,0,1,0,0,0
1944,Alexandre,Netherlands,2017,Vietnam,70.0,"sandy, sweet, roasty",3.5,Tien Giang,3,1,1,0,1,0,0,0
1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,60.0,"sweet, moldy, off",2.5,Sur del Lago,4,1,1,1,1,0,0,0
1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,60.0,"sandy, sweet, dairy, spice",3.0,Conacado,4,1,1,1,1,0,0,0
1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,60.0,"grit, sweet, caramel, fruit",3.0,Bolivia,4,1,1,1,1,0,0,0
1129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,80.0,"gritty, berry, mild bitter",3.25,Bolivia,4,1,1,1,1,0,0,0
1133,Altus aka Cao Artisan,U.S.A.,2013,Peru,60.0,"gritty, too sweet, fruit",3.25,Peru,4,1,1,1,1,0,0,0
1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,60.0,"sandy, sweet, pungent",2.5,CIAAB Coop,3,1,1,0,1,0,0,0
1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,60.0,"sandy, sweet, sour, off",2.5,Villa Andina,3,1,1,0,1,0,0,0
1728,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,60.0,"powdery, sweet, molasses",2.75,Momotombo,3,1,1,0,1,0,0,0
1732,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,60.0,"sandy, nutty, earthy, roasty",2.75,Gruppo Salinas,3,1,1,0,1,0,0,0
1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,60.0,"dry, sweet, caramel",3.0,Acopagro,3,1,1,0,1,0,0,0
2044,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,70.0,"sweet, coarse, nutty",3.0,Oko Caribe,3,1,1,0,1,0,0,0
147,Amano,U.S.A.,2007,Venezuela,70.0,"waxy, nutty, mint",3.0,Cuyagua,4,1,1,0,1,0,0,1
129,Amano,U.S.A.,2007,Madagascar,70.0,"spice, nut, cocoa, fruit",3.5,Madagascar,4,1,1,0,1,0,0,1
175,Amano,U.S.A.,2007,Venezuela,70.0,"spicy, strawberry",3.75,Ocumare,4,1,1,0,1,0,0,1
304,Amano,U.S.A.,2008,Indonesia,70.0,"sticky, nutty, high acidity",2.75,"Bali, Jembrana",4,1,1,0,1,0,0,1
363,Amano,U.S.A.,2009,Venezuela,70.0,"hot spice, roasty",3.0,Montanya,4,1,1,0,1,0,0,1
544,Amano,U.S.A.,2010,Venezuela,70.0,"woody, red berry, sour",3.0,Chuao,4,1,1,0,1,0,0,1
470,Amano,U.S.A.,2010,Dominican Republic,70.0,"orange, cinamon",3.75,Dos Rios,4,1,1,0,1,0,0,1
470,Amano,U.S.A.,2010,Ecuador,70.0,"strong spice, intense pepper",4.0,Guayas,4,1,1,0,1,0,0,1
725,Amano,U.S.A.,2011,Papua New Guinea,70.0,"tart, lemon, smoke",4.0,Morobe,4,1,1,0,1,0,0,1
327,Amatller (Simon Coll),Spain,2009,Ecuador,70.0,"waxy mouthfeel, spicy",2.75,Ecuador,2,1,0,0,1,0,0,0
464,Amatller (Simon Coll),Spain,2009,Ecuador,85.0,"fatty, mushroom, off notes",2.75,Ecuador,2,1,0,0,1,0,0,0
322,Amatller (Simon Coll),Spain,2009,Ghana,70.0,"dry, chalky, fudge-like",3.0,Ghana,2,1,0,0,1,0,0,0
464,Amatller (Simon Coll),Spain,2009,Ghana,85.0,"roasty,oddly sweet,marshmallow",3.0,Ghana,2,1,0,0,1,0,0,0
1145,Amazona,Peru,2013,Peru,72.0,"oily, vanilla, melon, cocoa",3.25,"LamasdelChanka, San Martin, Oro Verde coop",3,1,1,0,1,0,0,0
1145,Amazona,Peru,2013,Peru,73.0,"oily, vegetal, nutty, cocoa",3.5,"Bellavista Gran Pajeten, San Martin",3,1,1,0,1,0,0,0
1494,Ambrosia,Canada,2015,Belize,64.0,"roasty, brownie, nutty",3.0,Belize,4,1,1,1,1,0,0,0
1494,Ambrosia,Canada,2015,Madagascar,66.0,"fruity, sour",3.25,Madagascar,2,1,0,0,1,0,0,0
1498,Ambrosia,Canada,2015,Dominican Republic,75.0,"high roast, high astringnet",3.25,Dominican Republic,2,1,0,0,1,0,0,0
1498,Ambrosia,Canada,2015,Papua New Guinea,63.0,"smokey, savory",3.25,Papua New Guinea,2,1,0,0,1,0,0,0
1498,Ambrosia,Canada,2015,Venezuela,70.0,"sandy, roasty, nutty",3.25,Venezuela,2,1,0,0,1,0,0,0
1498,Ambrosia,Canada,2015,Peru,68.0,"rich, sour, mild smoke",3.5,Peru,2,1,0,0,1,0,0,0
75,Amedei,Italy,2006,Blend,66.0,"red wine, rich cocoa, long",3.75,Toscano Black,4,1,1,0,1,0,0,1
123,Amedei,Italy,2007,Ecuador,70.0,"creamy, earthy, vegetal",3.0,Ecuador,4,1,1,0,1,0,0,1
123,Amedei,Italy,2007,Jamaica,70.0,"sandy, woody, spicy",3.0,Jamaica,4,1,1,0,1,0,0,1
123,Amedei,Italy,2007,Grenada,70.0,fruity with coffee notes,3.5,Grenada,4,1,1,0,1,0,0,1
129,Amedei,Italy,2007,Trinidad,70.0,"coffee, fruit, woodsy",3.5,Trinidad,4,1,1,0,1,0,0,1
170,Amedei,Italy,2007,Blend,63.0,"fatty, dairy, caramel, cocoa",3.5,Toscano Black,4,1,1,0,1,0,0,1
123,Amedei,Italy,2007,Venezuela,70.0,"creamy, fruit, cocoa",3.75,Venezuela,4,1,1,0,1,0,0,1
979,Amedei,Italy,2012,Peru,70.0,"creamy, raspberry, nutty",3.75,"Piura, Blanco de Criollo",4,1,1,0,1,0,0,1
2088,Amedei,Italy,2018,Madagascar,70.0,"vanilla, mint, roasty",3.0,Madagascar,4,1,1,0,1,0,0,1
2088,Amedei,Italy,2018,Venezuela,70.0,"vanilla, nuts, roasty",3.0,Chuao,4,1,1,0,1,0,0,1
2092,Amedei,Italy,2018,Venezuela,70.0,"nutty, mild roasty, vanilla",3.0,Porcelana,4,1,1,0,1,0,0,1
2092,Amedei,Italy,2018,Blend,75.0,"sweet, delicate, complex",3.5,Nine,4,1,1,0,1,0,0,1
2434,Amedei,Italy,2019,Blend,70.0,"nut, fatty, rubbery, rich",2.75,Toscano Black,3,1,1,0,1,0,0,0
572,AMMA,Brazil,2010,Brazil,85.0,"creamy, red berry, bitter",2.75,"Monte Alegre, 3 diff. plantations",4,1,1,1,1,0,0,0
572,AMMA,Brazil,2010,Brazil,50.0,"very sweet, bright red, banana",3.75,"Monte Alegre, 3 diff. plantations",4,1,1,1,1,0,0,0
572,AMMA,Brazil,2010,Brazil,75.0,"roasty, fatty, nutty, coffee",3.75,"Monte Alegre, 3 diff. plantations",4,1,1,1,1,0,0,0
572,AMMA,Brazil,2010,Brazil,60.0,"creamy, sweet,cocoa,banana",4.0,"Monte Alegre, 3 diff. plantations",4,1,1,1,1,0,0,0
1065,AMMA,Brazil,2013,Brazil,75.0,"grainy, sweet, poor aftertaste",3.25,Catongo,4,1,1,1,1,0,0,0
1259,Anahata,U.S.A.,2014,Dominican Republic,75.0,"chalky, mild fruit, burnt",3.0,Elvesia,2,1,0,0,1,0,0,0
1852,Animas,U.S.A.,2016,Bolivia,75.0,"light roast, caramel, cocoa",3.5,Alto Beni,2,1,0,0,1,0,0,0
2586,Animas,U.S.A.,2021,Belize,75.0,"burnt toast, cherry",3.0,Maya Mountain,2,1,0,0,1,0,0,0
2586,Animas,U.S.A.,2021,Guatemala,75.0,"orange citrus, harsh earthiness",3.25,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",2,1,0,0,1,0,0,0
1379,Ara,France,2014,Mexico,72.0,"earthy, sour milk, leather",2.5,Chiapas,3,1,1,0,1,0,0,0
1379,Ara,France,2014,Ecuador,75.0,"bitter, floral, leather",2.75,Equateur,3,1,1,0,1,0,0,0
1375,Ara,France,2014,Madagascar,75.0,"sandy, fruity, short",3.0,Madagascar,3,1,1,0,1,0,0,0
1379,Ara,France,2014,Venezuela,75.0,"nutty, mild spice, mild earthy",3.0,Trincheras,3,1,1,0,1,0,0,0
1602,Arete,U.S.A.,2015,Brazil,75.0,"floral, chemical off",2.75,Fazenda Camboa,2,1,0,0,1,0,0,0
1602,Arete,U.S.A.,2015,Guatemala,70.0,"strawberry, butterscotch, off",3.25,Guatemala,2,1,0,0,1,0,0,0
1534,Arete,U.S.A.,2015,Brazil,70.0,"creamy, rich, rum, roasty",3.5,Fazenda Camboa,2,1,0,0,1,0,0,0
1534,Arete,U.S.A.,2015,Peru,68.0,"floral, nutty, rich cocoa",3.5,Nacional,2,1,0,0,1,0,0,0
1598,Arete,U.S.A.,2015,Dominican Republic,70.0,"spicy, brownie, nutty",3.5,Oko Caribe,2,1,0,0,1,0,0,0
1602,Arete,U.S.A.,2015,Ecuador,75.0,"intense, floral, bourbon",3.5,Camino Verde,3,1,1,0,1,0,0,0
1534,Arete,U.S.A.,2015,Ecuador,70.0,"spicy, cocoa",3.75,"Puerto Quito, heirloom",2,1,0,0,1,0,0,0
1598,Arete,U.S.A.,2015,Belize,70.0,"floral, strawberry, metallic",3.75,Maya Mountain,2,1,0,0,1,0,0,0
1598,Arete,U.S.A.,2015,Nicaragua,70.0,"creamy,sticky, peanut butter",4.0,Chuno,2,1,0,0,1,0,0,0
1904,Arete,U.S.A.,2016,Ecuador,70.0,"sticky, floral, roasty",3.25,Hacienda Victoria,3,1,1,0,1,0,0,0
1904,Arete,U.S.A.,2016,Ecuador,70.0,"chewy, mild floral",3.25,Costa Esmeraldas,3,1,1,0,1,0,0,0
1928,Arete,U.S.A.,2016,Fiji,70.0,"smoke, hammy, cocoa base",3.25,Matasawalevu,2,1,0,0,1,0,0,0
1928,Arete,U.S.A.,2016,Vietnam,73.0,"earthy, nutty, cardboard",3.25,Lam Dong,2,1,0,0,1,0,0,0
1724,Arete,U.S.A.,2016,Trinidad,70.0,"delicate, simple",3.5,San Juan,2,1,0,0,1,0,0,0
1900,Arete,U.S.A.,2016,Vietnam,73.0,"cashew, roasty, chunky melt",3.5,Tien Giang,3,1,1,0,1,0,0,0
1904,Arete,U.S.A.,2016,Guatemala,70.0,"subtle, mysterious",3.5,Lachua,2,1,0,0,1,0,0,0
1908,Arete,U.S.A.,2016,Honduras,70.0,"nutty, green",3.5,"La Masica, FHIA",2,1,0,0,1,0,0,0
1724,Arete,U.S.A.,2016,Tanzania,70.0,"appealing smoke, woody",3.75,Kokoa Kamili,2,1,0,0,1,0,0,0
1904,Arete,U.S.A.,2016,Nicaragua,70.0,"muddy, rich cocoa, raspberry",3.75,Rugoso,3,1,1,0,1,0,0,0
1928,Arete,U.S.A.,2016,Dominican Republic,70.0,"dark berry, chocolatey",3.75,Elvesia,2,1,0,0,1,0,0,0
1908,Arete,U.S.A.,2016,Costa Rica,70.0,"balanced, cherry, choco",4.0,"Coto Brus, Terciopelo",2,1,0,0,1,0,0,0
1924,Arete,U.S.A.,2016,Peru,70.0,"creamy, complex, balanced",4.0,Phantom,2,1,0,0,1,0,0,0
2020,Arete,U.S.A.,2017,India,70.0,"slight roasty, basic cocoa",3.5,Anamalai,2,1,0,0,1,0,0,0
2020,Arete,U.S.A.,2017,Madagascar,70.0,sour fruit,3.5,Sambirano Valley,3,1,1,0,1,0,0,0
2020,Arete,U.S.A.,2017,Vietnam,73.0,"rich cocoa, mild roasty",3.5,Ben Tre,3,1,1,0,1,0,0,0
2028,Arete,U.S.A.,2017,Peru,70.0,"dried fruit, fig, anise",3.5,Ucayali,3,1,1,0,1,0,0,0
2024,Arete,U.S.A.,2017,Bolivia,70.0,"creamy, bright fruit",4.0,Beniano,2,1,0,0,1,0,0,0
2028,Arete,U.S.A.,2017,Haiti,70.0,"long lasting, cocoa",4.0,Pisa,2,1,0,0,1,0,0,0
2068,Arete,U.S.A.,2018,Trinidad,70.0,"nuts, dried fruit, short",3.0,Ramnath E.,2,1,0,0,1,0,0,0
2254,Arete,U.S.A.,2018,Colombia,70.0,"smooth, nutty, cocoa",4.0,Tumaco,2,1,0,0,1,0,0,0
2450,Arete,U.S.A.,2019,India,70.0,"burn butterscotch, rubbery",3.0,Idukki,3,1,1,0,1,0,0,0
2330,Arete,U.S.A.,2019,India,70.0,"herbs, mushroom, acidic",3.25,Jangareddygudem,3,1,1,0,1,0,0,0
2166,Argencove,Nicaragua,2018,Nicaragua,70.0,"cocoa, earthy, hammy",3.0,Apoyo,2,1,0,0,1,0,0,0
2162,Argencove,Nicaragua,2018,Nicaragua,70.0,"melon, late hammy",3.25,Masaya,2,1,0,0,1,0,0,0
2162,Argencove,Nicaragua,2018,Nicaragua,70.0,"smooth, vegetal",3.5,Mombacho,2,1,0,0,1,0,0,0
2162,Argencove,Nicaragua,2018,Nicaragua,70.0,"roasty, rich cocoa",3.5,Cocibolca,2,1,0,0,1,0,0,0
300,Artisan du Chocolat,U.K.,2008,Congo,72.0,"spicy, minty, vegetal",3.75,Congo,3,1,1,0,1,0,0,0
363,Artisan du Chocolat,U.K.,2009,Brazil,72.0,"cocoa, dominate off note",1.75,Brazil Rio Doce,3,1,1,0,1,0,0,0
355,Artisan du Chocolat,U.K.,2009,Venezuela,75.0,"oily, nutty, burnt, sour",2.5,"Ocumare, Venezuela",3,1,1,0,1,0,0,0
355,Artisan du Chocolat,U.K.,2009,Indonesia,72.0,"gritty, very smokey, sour",2.75,Java,3,1,1,0,1,0,0,0
363,Artisan du Chocolat,U.K.,2009,Madagascar,80.0,"sl. bitter, cherry, rich",3.0,Madagascar,3,1,1,0,1,0,0,0
363,Artisan du Chocolat,U.K.,2009,Peru,75.0,"spicey, mild metallic",3.0,Peru,3,1,1,0,1,0,0,0
363,Artisan du Chocolat,U.K.,2009,Dominican Republic,72.0,"spice, cocoa, short",3.25,Dominican Republic,3,1,1,0,1,0,0,0
600,Artisan du Chocolat,U.K.,2010,Costa Rica,72.0,"chewy, grassy, nutty",3.25,Costa Rica,3,1,1,0,1,0,0,0
600,Artisan du Chocolat,U.K.,2010,Vietnam,72.0,"unrefined, distinct spicey",3.25,Ba Ria Vung Tau Province,3,1,1,0,1,0,0,0
600,Artisan du Chocolat,U.K.,2010,Indonesia,72.0,black pepper and banana,3.5,Bali,3,1,1,0,1,0,0,0
531,Artisan du Chocolat,U.K.,2010,Jamaica,72.0,"grassy, black licorice, mint",3.75,Jamaica,3,1,1,0,1,0,0,0
745,Artisan du Chocolat,U.K.,2011,Panama,72.0,"blackpepper,chemical,rubber",2.75,Panama,3,1,1,0,1,0,0,0
729,Artisan du Chocolat,U.K.,2011,Haiti,72.0,"nuts, butterscotch, brownie",4.0,Haiti,3,1,1,0,1,0,0,0
947,Artisan du Chocolat,U.K.,2012,Colombia,72.0,"marshmallow, roasty, nutty",3.75,"Colombia, Casa Luker",3,1,1,0,1,0,0,0
1193,Artisan du Chocolat,U.K.,2013,Trinidad,72.0,"gritty, nutty",3.25,"Trinidad, Heritage, Limited ed.",3,1,1,0,1,0,0,0
1181,Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,72.0,"creamy, marshmallow, off",2.75,"Orinoqua Region, Arauca",4,1,1,1,1,0,0,0
2562,Aruntam,Italy,2021,India,72.0,"cinamon, nutmeg, fatty",3.25,"Idukki Kerala, lot IN728221",4,1,1,1,1,0,0,0
2562,Aruntam,Italy,2021,Madagascar,72.0,"strawberry, sour",3.25,"Bejofo E., Akesson, lot MA72820",4,1,1,1,1,0,0,0
2566,Aruntam,Italy,2021,Tanzania,72.0,"caramel, sour milk",3.5,"Kokoa Kamili, lot TZ72199",4,1,1,1,1,0,0,0
141,Askinosie,U.S.A.,2007,Mexico,75.0,"leather, black licorice, off",2.5,Xoconusco,2,1,0,0,1,0,0,0
175,Askinosie,U.S.A.,2007,Ecuador,70.0,"smooth, astringent, cocoa",3.0,San Jose del Tambo,2,1,0,0,1,0,0,0
331,Askinosie,U.S.A.,2009,Philippines,77.0,"strawberries, mild tart, roasty",3.75,Davao,2,1,0,0,1,0,0,0
647,Askinosie,U.S.A.,2011,Tanzania,72.0,"creamy, woody, cocoa",3.75,"Tenende, Uwate",2,1,0,0,1,0,0,0
661,Askinosie,U.S.A.,2011,Honduras,70.0,"grapes, woody, roasty",3.75,Cortes,2,1,0,0,1,0,0,0
1780,Askinosie,U.S.A.,2016,Tanzania,68.0,"creamy, rich, blueberry",3.75,Mababa,3,1,1,0,1,0,0,0
2434,Atypic,Australia,2019,Solomon Islands,70.0,"off aroma,vegetal,honey,sandy",3.0,Solomon Islands,4,1,1,1,1,0,0,0
2056,Auro,Philippines,2018,Philippines,77.0,"sandy, vanilla",2.75,Davao,4,1,0,1,1,0,0,1
2056,Auro,Philippines,2018,Philippines,70.0,"waxy, dried fruit",3.0,"Paquibao E., 2016",3,1,1,0,1,0,0,0
2056,Auro,Philippines,2018,Philippines,70.0,"sandy, roasty, nutty",3.0,South Cotabato,3,1,1,0,1,0,0,0
2056,Auro,Philippines,2018,Philippines,70.0,"long, bright fruit, sweet, sour",3.5,"Saloy E., 2016",3,1,1,0,1,0,0,0
2672,Avanaa,Canada,2021,Colombia,70.0,"chemical, spice, earthy",2.5,Tumaco,2,1,0,0,1,0,0,0
2672,Avanaa,Canada,2021,Dominican Republic,70.0,"intense, sour tart plum, rubber",3.0,Zorzal,2,1,0,0,1,0,0,0
999,Bahen & Co.,Australia,2012,Brazil,70.0,"chalky, intense, chemical",2.5,Bahia,2,1,0,0,1,0,0,0
999,Bahen & Co.,Australia,2012,Blend,70.0,"chalky, fragrant, then off",2.5,Houseblend,2,1,0,0,1,0,0,0
995,Bahen & Co.,Australia,2012,Madagascar,70.0,"unrefined, flat, grassy",3.0,Sambirano,2,1,0,0,1,0,0,0
1474,Bahen & Co.,Australia,2015,Blend,80.0,"coarse, smokey, metallic",3.25,Houseblend,2,1,0,0,1,0,0,0
1474,Bahen & Co.,Australia,2015,Papua New Guinea,70.0,"smoke, ham, papaya",3.5,Papua New Guinea,2,1,0,0,1,0,0,0
2146,Baiani,Brazil,2018,Brazil,70.0,"bland, sugary, large grits",3.0,"Bahia, Vale Potumujo",2,1,0,0,1,0,0,0
1454,Bakau,Peru,2015,Peru,70.0,"molasses, caramel, pungent",2.75,"Bambamarca, 2015",3,1,1,0,1,0,0,0
1454,Bakau,Peru,2015,Peru,70.0,"black pepper, cardamom",3.5,"Huallabamba, 2015",3,1,1,0,1,0,0,0
2290,Bankston,U.S.A.,2019,Belize,72.0,"gritty, fatty, sour, off",2.5,Belize,3,1,1,0,1,0,0,0
2294,Bankston,U.S.A.,2019,Uganda,82.0,"bitter, fatty, mild fruit",2.75,Uganda,3,1,1,0,1,0,0,0
2294,Bankston,U.S.A.,2019,Tanzania,72.0,"base cocoa, mild fruit, roasty",3.25,Kokoa Kamili,3,1,1,0,1,0,0,0
983,Bar Au Chocolat,U.S.A.,2012,Dominican Republic,70.0,"complex,black pepper,coffee",3.25,Duarte Province,2,1,0,0,1,0,0,0
983,Bar Au Chocolat,U.S.A.,2012,Mexico,70.0,"molasses,toffee,coffee grounds",3.5,Chiapas,2,1,0,0,1,0,0,0
983,Bar Au Chocolat,U.S.A.,2012,Madagascar,70.0,"raspberry, mild sour",3.75,Sambirano,2,1,0,0,1,0,0,0
1295,Bar Au Chocolat,U.S.A.,2014,Peru,70.0,"creamy, rounded, orange",4.0,Maranon Canyon,2,1,0,0,1,0,0,0
1554,Bar Au Chocolat,U.S.A.,2015,Brazil,70.0,"intense, smokey, dried fruit",3.5,Bahia,2,1,0,0,1,0,0,0
